"gaul1_code","map_code","gaul0_name","gaul1_name","continent","disp_en"
"3690","NOR","Norway","Telemark","Europe","Telemark, Norway"
"1888","CAN","Canada","Saskatchewan","America","Saskatchewan, Canada"
"3172","TUR","Türkiye","Sinop","Asia","Sinop, Türkiye"
"1683","TZA","United Republic of Tanzania","Iringa","Africa","Iringa, United Republic of Tanzania"
"1429","MDG","Madagascar","Antsiranana","Africa","Antsiranana, Madagascar"
"2701","ISR","Israel","Jerusalem","Asia","Jerusalem, Israel"
"1037","DZA","Algeria","Setif","Africa","Setif, Algeria"
"3820","RUS","Russian Federation","Siberian Federal District","Europe","Siberian Federal District, Russian Federation"
"2610","IND","India","Telangana","Asia","Telangana, India"
"1913","COL","Colombia","Amazonas","America","Amazonas, Colombia"
"1287","SWZ","Eswatini","Manzini","Africa","Manzini, Eswatini"
"2081","HND","Honduras","Atlantida","America","Atlantida, Honduras"
"3033","THA","Thailand","Nakhon Pathom","Asia","Nakhon Pathom, Thailand"
"2511","KHM","Cambodia","Kandal","Asia","Kandal, Cambodia"
"3531","IRL","Ireland","Kilkenny","Europe","Kilkenny, Ireland"
"2714","JPN","Japan","Gifu","Asia","Gifu, Japan"
"2909","PAK","Pakistan","Sindh","Asia","Sindh, Pakistan"
"1246","EGY","Egypt","Assiut","Africa","Assiut, Egypt"
"1725","ZWE","Zimbabwe","Mashonaland East","Africa","Mashonaland East, Zimbabwe"
"1598","SOM","Somalia","Lower Shabelle","Africa","Lower Shabelle, Somalia"
"2017","SLV","El Salvador","La Libertad","America","La Libertad, El Salvador"
"1927","COL","Colombia","Guainia","America","Guainia, Colombia"
"2660","IRN","Iran (Islamic Republic Of)","Isfahan","Asia","Isfahan, Iran (Islamic Republic Of)"
"2406","AFG","Afghanistan","Ghazni","Asia","Ghazni, Afghanistan"
"3260","VNM","Viet Nam","Thanh Hoa","Asia","Thanh Hoa, Viet Nam"
"2853","MDV","Maldives","Lhaviyani","Asia","Lhaviyani, Maldives"
"3114","TUR","Türkiye","Balikesir","Asia","Balikesir, Türkiye"
"1201","CIV","Côte D'Ivoire","Denguélé","Africa","Denguélé, Côte D'Ivoire"
"1438","MLI","Mali","Gao","Africa","Gao, Mali"
"2587","IND","India","Disputed (Madhya Pradesh & Rajasthan)","Asia","Disputed (Madhya Pradesh & Rajasthan), India"
"3587","ITA","Italy","Toscana","Europe","Toscana, Italy"
"3528","IRL","Ireland","Galway","Europe","Galway, Ireland"
"3595","JEY","Jersey","Saint Helier","Europe","Saint Helier, Jersey"
"4020","NZL","New Zealand","Northland Region","Oceania","Northland Region, New Zealand"
"1614","ZAF","South Africa","Northern Cape","Africa","Northern Cape, South Africa"
"1386","KEN","Kenya","Nyamira","Africa","Nyamira, Kenya"
"2706","JPN","Japan","Aichi","Asia","Aichi, Japan"
"2193","PRY","Paraguay","Guairá","America","Guairá, Paraguay"
"1067","SHN","Ascension, Saint Helena and Tristan da Cunha","Ascension","Africa","Ascension, Ascension, Saint Helena and Tristan da Cunha"
"1208","CIV","Côte D'Ivoire","Vallée Du Bandama","Africa","Vallée Du Bandama, Côte D'Ivoire"
"3105","TUR","Türkiye","Afyonkarahisar","Asia","Afyonkarahisar, Türkiye"
"3014","THA","Thailand","Chaiyaphum","Asia","Chaiyaphum, Thailand"
"2796","KGZ","Kyrgyzstan","Jalal-Abad","Asia","Jalal-Abad, Kyrgyzstan"
"3057","THA","Thailand","Ranong","Asia","Ranong, Thailand"
"2187","PRY","Paraguay","Caaguazú","America","Caaguazú, Paraguay"
"1918","COL","Colombia","Boyaca","America","Boyaca, Colombia"
"2800","LAO","Lao People's Democratic Republic","Attapeu","Asia","Attapeu, Lao People's Democratic Republic"
"2718","JPN","Japan","Hyōgo","Asia","Hyōgo, Japan"
"2630","IDN","Indonesia","Kalimantan Utara","Asia","Kalimantan Utara, Indonesia"
