gaul2_code,map_code,gaul0_name,gaul1_name,gaul2_name,continent,disp_en
131301,THA,Thailand,Phetchaburi,Ban Laem,Asia,"Ban Laem, Phetchaburi, Thailand"
106032,TUN,Tunisia,Gafsa,Sidi Boubaker,Africa,"Sidi Boubaker, Gafsa, Tunisia"
131302,THA,Thailand,Phetchaburi,Ban Lat,Asia,"Ban Lat, Phetchaburi, Thailand"
131303,THA,Thailand,Phetchaburi,Cha-Am,Asia,"Cha-Am, Phetchaburi, Thailand"
131304,THA,Thailand,Phetchaburi,Kaeng Krachan,Asia,"Kaeng Krachan, Phetchaburi, Thailand"
131305,THA,Thailand,Phetchaburi,Khao Yoi,Asia,"Khao Yoi, Phetchaburi, Thailand"
131306,THA,Thailand,Phetchaburi,Mueang Phetchaburi,Asia,"Mueang Phetchaburi, Phetchaburi, Thailand"
131307,THA,Thailand,Phetchaburi,Nong Ya Plong,Asia,"Nong Ya Plong, Phetchaburi, Thailand"
131309,THA,Thailand,Phichit,Bang Mun Nak,Asia,"Bang Mun Nak, Phichit, Thailand"
106101,TUN,Tunisia,Mahdia,Sidi Alouane,Africa,"Sidi Alouane, Mahdia, Tunisia"
131310,THA,Thailand,Phichit,Bueng Na Rang,Asia,"Bueng Na Rang, Phichit, Thailand"
131331,THA,Thailand,Phra Nakhon Si Ayutthaya,Bang Ban,Asia,"Bang Ban, Phra Nakhon Si Ayutthaya, Thailand"
131311,THA,Thailand,Phichit,Dong Charoen,Asia,"Dong Charoen, Phichit, Thailand"
131332,THA,Thailand,Phra Nakhon Si Ayutthaya,Bang Pa-In,Asia,"Bang Pa-In, Phra Nakhon Si Ayutthaya, Thailand"
106104,TUN,Tunisia,Manouba,Douar Hicher,Africa,"Douar Hicher, Manouba, Tunisia"
106105,TUN,Tunisia,Manouba,El Battane,Africa,"El Battane, Manouba, Tunisia"
131312,THA,Thailand,Phichit,Mueang Phichit,Asia,"Mueang Phichit, Phichit, Thailand"
106106,TUN,Tunisia,Manouba,Mannouba,Africa,"Mannouba, Manouba, Tunisia"
131313,THA,Thailand,Phichit,Pho Prathap Chang,Asia,"Pho Prathap Chang, Phichit, Thailand"
131333,THA,Thailand,Phra Nakhon Si Ayutthaya,Bang Pahan,Asia,"Bang Pahan, Phra Nakhon Si Ayutthaya, Thailand"
131314,THA,Thailand,Phichit,Pho Thale,Asia,"Pho Thale, Phichit, Thailand"
131315,THA,Thailand,Phichit,Sak Lek,Asia,"Sak Lek, Phichit, Thailand"
131316,THA,Thailand,Phichit,Sam Ngam,Asia,"Sam Ngam, Phichit, Thailand"
131317,THA,Thailand,Phichit,Tap Khlo,Asia,"Tap Khlo, Phichit, Thailand"
131336,THA,Thailand,Phra Nakhon Si Ayutthaya,Lat Bua Luang,Asia,"Lat Bua Luang, Phra Nakhon Si Ayutthaya, Thailand"
131318,THA,Thailand,Phichit,Taphan Hin,Asia,"Taphan Hin, Phichit, Thailand"
106199,TUN,Tunisia,Sousse,Sidi El Héni,Africa,"Sidi El Héni, Sousse, Tunisia"
131321,THA,Thailand,Phitsanulok,Bang Krathum,Asia,"Bang Krathum, Phitsanulok, Thailand"
131337,THA,Thailand,Phra Nakhon Si Ayutthaya,Maha Rat,Asia,"Maha Rat, Phra Nakhon Si Ayutthaya, Thailand"
131322,THA,Thailand,Phitsanulok,Bang Rakam,Asia,"Bang Rakam, Phitsanulok, Thailand"
131323,THA,Thailand,Phitsanulok,Chat Trakan,Asia,"Chat Trakan, Phitsanulok, Thailand"
